,title,author,publication_year,format,current_price,original_price
184,I Who Have Never Known Men,Jacqueline Harpman,2019,Paperback,10.89,12.03
186,November 9,Colleen Hoover,2015,Paperback,10.7,13.0
190,Warbreaker,Brandon Sanderson,2011,Paperback,12.89,19.5
192,A Pilgrim's Guide to the Camino De Santiago,John Brierley,2023,Paperback,23.28,29.99
193,The Little Prince,Antoine de Saint-Exupery,1998,Paperback,4.21,5.99
194,Ramadan Reflections,Aliyah Umm Raiyaan,2023,Paperback,14.01,15.65
195,AMYGDALA,Sam Fennah,2023,Hardback,71.35,144.11
196,Life,Donna Ashworth,2022,Hardback,9.72,16.99
197,Hold on to Your Kids,Gabor Mate,2019,Paperback,14.23,15.65
198,Persiana Everyday,Sabrina Ghayour,2022,Hardback,28.97,31.32
199,Batman/Superman: World's Finest Vol. 1,Mark Waid,2023,Hardback,24.13,24.99
200,The Courage To Be Disliked,Ichiro Kishimi,2019,Paperback,11.4,13.24
202,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 3,Rou Bao Bu Chi Rou,2023,Paperback,17.89,19.99
203,The Ruthless Elimination of Hurry,John Mark Comer,2019,Paperback,13.54,18.06
208,Letters To Milena,Franz Kafka,1999,Paperback,6.72,10.83
209,"Philadelphia, Here I Come",Brian Friel,1994,Paperback,10.0,16.0
210,Deep Work,Cal Newport,2016,Paperback,14.2,18.06
211,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,2020,Paperback,12.42,13.24
212,The Selfish Gene,Richard Dawkins,2018,Paperback,11.99,15.95
214,I'm Glad My Mom Died,Jennette McCurdy,2022,Hardback,21.3,27.99
216,The Emotional Lives of Teenagers,Lisa Damour,2023,Paperback,15.28,18.06
218,Unmasking Autism,Devon Price,2022,Hardback,17.22,20.47
221,Fleabag: The Scriptures,Phoebe Waller-bridge,2021,Paperback,17.56,20.47
222,The Happiest Man on Earth,Eddie Jaku,2022,Paperback,11.9,13.24
224,Mort,Terry Pratchett,2013,Hardback,24.44,24.99
225,The Happiness Trap 2nd Edition,Russ Harris,2022,Paperback,13.15,15.65
228,Freezing Order,Bill Browder,2023,Paperback,11.69,12.03
229,Speak Italian,Bruno Munari,2005,Paperback,11.17,15.95
230,Die With Zero,Bill Perkins,2021,Paperback,15.52,18.99
232,The Island of Missing Trees,Elif Shafak,2022,Paperback,11.77,12.03
234,Cain's Jawbone,Ernest Powys Mathers,2021,Paperback,10.35,12.95
235,The Laws of Human Nature,Robert Greene,2018,Paperback,21.28,21.67
237,Remnants of Filth: Yuwu (Novel) Vol. 1,Rou Bao Bu Chi Rou,2023,Paperback,17.89,19.99
241,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2,Mo Xiang Tong Xiu,2022,Paperback,15.3,19.99
244,Archer's Voice,Mia Sheridan,2022,Paperback,14.37,16.99
246,Berserk Deluxe Volume 13,Kentaro Miura,2023,Hardback,47.52,49.99
247,I Want My Hat Back,Jon Klassen,2012,Paperback,8.55,15.5
249,All Your Perfects,Colleen Hoover,2022,Paperback,9.6,10.83
250,Kill For Me Kill For You,Steve Cavanagh,2023,Hardback,16.79,18.06
252,Beautiful Oops!,Barney Saltzberg,2010,Hardback,13.23,16.95
254,Love,Donna Ashworth,2022,Hardback,9.75,16.99
255,The Dangers of Smoking in Bed,Mariana Enriquez,2022,Paperback,9.04,10.83
256,The Obstacle is the Way,Ryan Holiday,2018,Paperback,10.7,15.08
260,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 4,Rou Bao Bu Chi Rou,2023,Paperback,17.89,19.99
261,The Scum Villains Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 4,Mo Xiang Tong Xiu,2022,Book,16.04,19.99
262,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 3,Mo Xiang Tong Xiu,2022,Paperback,16.05,19.99
263,The Case Against the Sexual Revolution,L Perry,2022,Paperback,18.28,19.95
