,title,author,current_price
778,Seven Days in June,Tia Williams,9.75
780,Green Living Made Easy,Nancy Birtwhistle,16.67
781,Harry Potter and the Prisoner of Azkaban: MinaLima Edition,J.K. Rowling,43.13
782,You Don't Know What War Is,Yeva Skalietska,11.48
801,Love on the Brain,Ali Hazelwood,9.76
805,Medical Medium Brain Saver,Anthony William,34.99
807,A Heart That Works,Rob Delaney,18.93
808,Fairy Tale,Stephen King,23.34
813,The Atlas Six,Olivie Blake,16.6
814,Shuna's Journey,Hayao Miyazaki,25.1
818,"Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, Text Revision (DSM-5-TR (TM))",American Psychiatric Association,138.78
820,Trans,Helen Joyce,12.29
823,Keys From the Golden Vault (Dungeons & Dragons Adventure Book),"Wizards, RPG Team",47.03
831,On Connection,Kae Tempest,8.72
841,The Terraformers,Annalee Newitz,9.61
842,The Shadow of the Gods,John Gwynne,11.43
844,Part of Your World,Abby Jimenez,10.02
850,Manifest: Dive Deeper,Roxie Nafousi,19.79
855,Isadora Moon and the New Girl,Harriet Muncaster,7.42
881,"Bungo Stray Dogs, Vol. 7 (light novel)",Kafka Asagiri,12.53
882,"Re:ZERO -Starting Life in Another World-, Vol. 21 (light novel)",Tappei Nagatsuki,13.57
884,"One-Punch Man, Vol. 24",ONE,9.55
891,"Different, Not Less",Chloe Hayden,17.25
893,Conform To Deform,Doyle Wesley,20.15
902,The Trap,David Icke,16.81
905,The Iron Kingdom,Nick Kyme,14.32
906,Lonely Planet Sicily,Lonely Planet,16.22
907,The Rose Oracle,Rebecca Campbell,17.24
908,Outsmart Your Brain,Daniel Willingham,16.74
911,Metamorphosis,Robert Douglas-Fairhurst,21.97
912,Spice Kitchen,Sanjay Aggarwal,29.09
923,In Love,Amy Bloom,11.13
935,ACT for Treating Children,Tamar D. Black,33.04
939,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 21,Rifujin Na Magonote,12.52
940,Thousand Autumns: Qian Qiu (Novel) Vol. 2,Meng Xi Shi,17.89
941,The Case Files of Jeweler Richard (Light Novel) Vol. 3,Nanako Tsujimura,13.41
942,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5,Mo Xiang Tong Xiu,17.89
943,"The Girl From the Other Side: Siuil, a Run Deluxe Edition I (Vol. 1-3 Hardcover Omnibus)",Nagabe,35.96
952,My Body,Emily Ratajkowski,9.31
958,Spoon-Fed,Tim Spector,12.45
969,All the Living and the Dead,Hayley Campbell,10.44
971,The Complete Guide to Memory,Richard Restak,23.55
984,The Stolen Heir,Holly Black,18.36
1013,"Praying Like Monks, Living Like Fools",Tyler Staton,13.69
1014,Foxglove,Adalyn Grace,18.34
1015,Still Points,Brother Richard Hendrick,15.94
1016,Ten Things I Hate About Me,Joe Tracini,16.42
1017,"Forever, Interrupted",Taylor Jenkins Reid,10.08
